y,x,street_count,elevation,highway,geometry
51.4915782,7.3721864,4,101.0,crossing,POINT (7.3721864 51.4915782)
51.4858717,7.3999788,3,132.0,,POINT (7.3999788 51.4858717)
51.496541,7.3736279,3,92.0,,POINT (7.3736279 51.496541)
51.4954131,7.3738116,3,92.0,,POINT (7.3738116 51.4954131)
51.4955591,7.3737576,3,92.0,,POINT (7.3737576 51.4955591)
51.4872835,7.3743442,3,111.0,,POINT (7.3743442 51.4872835)
51.4847299,7.3884709,3,134.0,,POINT (7.3884709 51.4847299)
51.4879547,7.3736469,4,109.0,,POINT (7.3736469 51.4879547)
51.4924125,7.3758153,4,100.0,,POINT (7.3758153 51.4924125)
51.4921311,7.3760219,3,100.0,,POINT (7.3760219 51.4921311)
51.4915811,7.3747597,3,102.0,,POINT (7.3747597 51.4915811)
51.4916079,7.3748773,3,102.0,,POINT (7.3748773 51.4916079)
51.4918549,7.3751586,3,100.0,,POINT (7.3751586 51.4918549)
51.4925828,7.378326,3,105.0,,POINT (7.378326 51.4925828)
51.4927236,7.378364,3,105.0,,POINT (7.378364 51.4927236)
51.4924963,7.377694,3,105.0,,POINT (7.377694 51.4924963)
51.4964381,7.3787553,3,98.0,,POINT (7.3787553 51.4964381)
51.4950009,7.3787494,2,104.0,,POINT (7.3787494 51.4950009)
51.4957739,7.3787366,3,104.0,,POINT (7.3787366 51.4957739)
51.4953492,7.3787203,2,104.0,,POINT (7.3787203 51.4953492)
51.4937009,7.3782697,4,105.0,,POINT (7.3782697 51.4937009)
51.4935841,7.3782276,3,105.0,,POINT (7.3782276 51.4935841)
51.4916767,7.3785774,3,105.0,,POINT (7.3785774 51.4916767)
51.495602,7.3759896,3,99.0,,POINT (7.3759896 51.495602)
51.4963175,7.3759757,3,96.0,,POINT (7.3759757 51.4963175)
51.4963724,7.3767017,3,96.0,,POINT (7.3767017 51.4963724)
51.4964308,7.379878,3,99.0,,POINT (7.379878 51.4964308)
51.4875115,7.3787893,4,113.0,traffic_signals,POINT (7.3787893 51.4875115)
51.4875676,7.379311,3,112.0,,POINT (7.379311 51.4875676)
51.4877272,7.378357,4,113.0,crossing,POINT (7.378357 51.4877272)
51.4878009,7.3784332,4,113.0,crossing,POINT (7.3784332 51.4878009)
51.487902,7.3784981,3,113.0,,POINT (7.3784981 51.487902)
51.4877027,7.3781855,3,113.0,,POINT (7.3781855 51.4877027)
51.4880761,7.3714882,3,105.0,,POINT (7.3714882 51.4880761)
51.4911972,7.3725932,3,101.0,,POINT (7.3725932 51.4911972)
51.4914845,7.3720244,4,101.0,traffic_signals,POINT (7.3720244 51.4914845)
51.4918189,7.3722862,3,97.0,,POINT (7.3722862 51.4918189)
51.4910329,7.3834214,3,111.0,,POINT (7.3834214 51.4910329)
51.4861412,7.3847133,3,123.0,,POINT (7.3847133 51.4861412)
51.4861356,7.3844656,1,123.0,,POINT (7.3844656 51.4861356)
51.4896562,7.3832479,3,109.0,,POINT (7.3832479 51.4896562)
51.4899363,7.3833141,3,109.0,,POINT (7.3833141 51.4899363)
51.4881118,7.37083,3,102.0,,POINT (7.37083 51.4881118)
51.4799764,7.3755801,3,142.0,,POINT (7.3755801 51.4799764)
51.4838086,7.3762825,3,127.0,,POINT (7.3762825 51.4838086)
51.478629,7.3751199,4,142.0,,POINT (7.3751199 51.478629)
51.4804549,7.3760385,4,142.0,,POINT (7.3760385 51.4804549)
51.4802616,7.3751346,3,142.0,,POINT (7.3751346 51.4802616)
51.4830013,7.3751881,3,135.0,,POINT (7.3751881 51.4830013)
51.4838497,7.3756059,3,127.0,,POINT (7.3756059 51.4838497)
51.4838725,7.3762784,3,127.0,,POINT (7.3762784 51.4838725)
51.478613,7.3743874,3,146.0,,POINT (7.3743874 51.478613)
51.4797197,7.3736282,3,141.0,,POINT (7.3736282 51.4797197)
51.4798825,7.3736865,3,141.0,,POINT (7.3736865 51.4798825)
51.4800573,7.3737388,5,141.0,,POINT (7.3737388 51.4800573)
51.4800461,7.373026,3,141.0,,POINT (7.373026 51.4800461)
51.4799468,7.3730496,3,141.0,,POINT (7.3730496 51.4799468)
51.4927011,7.3698286,3,92.0,,POINT (7.3698286 51.4927011)
51.4924105,7.3702663,3,92.0,,POINT (7.3702663 51.4924105)
