osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,service,ref,access,tunnel,bridge,junction
39427584,,service,,,False,True,60.769999999999996,,"LINESTRING (7.3731651 51.4903482, 7.3734696 51.4906909, 7.3736872 51.4906159)",parking_aisle,,,,,
39427584,,service,,,False,True,17.22,,"LINESTRING (7.3736872 51.4906159, 7.3739049 51.490541)",parking_aisle,,,,,
39427589,,service,,,False,False,43.55,,"LINESTRING (7.3736872 51.4906159, 7.3733827 51.4902732)",parking_aisle,,,,,
39427584,,service,,,False,False,60.769999999999996,,"LINESTRING (7.3736872 51.4906159, 7.3734696 51.4906909, 7.3731651 51.4903482)",parking_aisle,,,,,
39427584,,service,,,False,False,17.22,,"LINESTRING (7.3739049 51.490541, 7.3736872 51.4906159)",parking_aisle,,,,,
39427584,,service,,,False,True,17.226,,"LINESTRING (7.3739049 51.490541, 7.3741226 51.490466)",parking_aisle,,,,,
39427588,,service,,,False,False,43.559,,"LINESTRING (7.3739049 51.490541, 7.3736004 51.4901982)",parking_aisle,,,,,
39427584,,service,,,False,False,17.226,,"LINESTRING (7.3741226 51.490466, 7.3739049 51.490541)",parking_aisle,,,,,
39427584,,service,,,False,True,17.226,,"LINESTRING (7.3741226 51.490466, 7.3743403 51.490391)",parking_aisle,,,,,
39427587,,service,,,False,False,43.559,,"LINESTRING (7.3741226 51.490466, 7.3738181 51.4901232)",parking_aisle,,,,,
39427584,,service,,,False,False,17.226,,"LINESTRING (7.3743403 51.490391, 7.3741226 51.490466)",parking_aisle,,,,,
39427586,,service,,,False,False,43.559,,"LINESTRING (7.3743403 51.490391, 7.3740358 51.4900482)",parking_aisle,,,,,
39427584,,service,,,False,True,35.09,,"LINESTRING (7.3743403 51.490391, 7.3745579 51.4903161, 7.374433 51.4901754)",parking_aisle,,,,,
39427583,,service,,,False,False,19.183,,"LINESTRING (7.3742535 51.4899732, 7.374497 51.4898909)",parking_aisle,,,,,
39427583,,service,,,False,True,17.226,,"LINESTRING (7.3742535 51.4899732, 7.3740358 51.4900482)",parking_aisle,,,,,
39427585,,service,,,False,True,25.69,,"LINESTRING (7.3742535 51.4899732, 7.374433 51.4901754)",parking_aisle,,,,,
39427583,,service,,,False,False,17.226,,"LINESTRING (7.3740358 51.4900482, 7.3742535 51.4899732)",parking_aisle,,,,,
39427583,,service,,,False,True,17.226,,"LINESTRING (7.3740358 51.4900482, 7.3738181 51.4901232)",parking_aisle,,,,,
39427586,,service,,,False,True,43.559,,"LINESTRING (7.3740358 51.4900482, 7.3743403 51.490391)",parking_aisle,,,,,
39427583,,service,,,False,False,17.226,,"LINESTRING (7.3738181 51.4901232, 7.3740358 51.4900482)",parking_aisle,,,,,
39427583,,service,,,False,True,17.226,,"LINESTRING (7.3738181 51.4901232, 7.3736004 51.4901982)",parking_aisle,,,,,
39427587,,service,,,False,True,43.559,,"LINESTRING (7.3738181 51.4901232, 7.3741226 51.490466)",parking_aisle,,,,,
39427583,,service,,,False,False,17.226,,"LINESTRING (7.3736004 51.4901982, 7.3738181 51.4901232)",parking_aisle,,,,,
39427583,,service,,,False,True,17.226,,"LINESTRING (7.3736004 51.4901982, 7.3733827 51.4902732)",parking_aisle,,,,,
39427588,,service,,,False,True,43.559,,"LINESTRING (7.3736004 51.4901982, 7.3739049 51.490541)",parking_aisle,,,,,
39427583,,service,,,False,False,17.226,,"LINESTRING (7.3733827 51.4902732, 7.3736004 51.4901982)",parking_aisle,,,,,
39427583,,service,,,False,True,17.22,,"LINESTRING (7.3733827 51.4902732, 7.3731651 51.4903482)",parking_aisle,,,,,
39427589,,service,,,False,True,43.55,,"LINESTRING (7.3733827 51.4902732, 7.3736872 51.4906159)",parking_aisle,,,,,
39427583,,service,,,False,False,16.931,,"LINESTRING (7.3752601 51.4897591, 7.3755013 51.489734)",parking_aisle,,,,,
39427583,,service,,,False,True,18.68,,"LINESTRING (7.3752601 51.4897591, 7.3749995 51.4898026)",parking_aisle,,,,,
315151082,,service,,,False,True,45.158,,"LINESTRING (7.3752601 51.4897591, 7.37545 51.4899704, 7.3752201 51.4900504)",parking_aisle,,,,,
